Feature	Gain	Cover	Frequency
Visa_fechaalta_delta2	0.000563515715695678	0.000566148909411641	0.00154231072420057
Visa_status_lag1	0.000506313270825505	0.00111923319935518	0.000788292147924735
cliente_edad_delta1	0.000496471995987988	0.000380105894746449	0.00116530143606265
Visa_fechaalta_delta1	0.000403134774743387	0.000109654104559728	0.000993933577818144
internet	0.000361613064216556	0.00113958160596191	0.00116530143606265
Master_status_delta1	0.00033002733312878	0.000362634045090024	0.000754018576275834
Master_status_lag1	0.000302785858795226	0.000157647024213538	0.000479830003084622
Visa_status_lag2	0.00026041391225272	0.000109053538601152	0.000274188573191212
Master_status_delta2	0.000198691410045653	0.000601326675457063	0.000274188573191212
Master_status_lag2	0.000143703853537539	0.000485937935949289	0.000342735716489015
Visa_status_delta2	0.000137747693930493	0.000206369862493925	0.000205641429893409
kmes_delta2	0.000122109997933965	0.000240275660637338	0.000342735716489015
kmes_delta1	8.89354398645726e-05	9.77844573579198e-06	0.000171367858244508
